"UNITID","LOCALE","LONGITUD","LATITUDE","EFFYALEV","EFFYLEV","LSTUDY","EFYTOTLT","EFYTOTLM","EFYTOTLW","EFYAIANT","EFYAIANM","EFYAIANW","EFYASIAT","EFYASIAM","EFYASIAW","EFYBKAAT","EFYBKAAM","EFYBKAAW","EFYHISPT","EFYHISPM","EFYHISPW","EFYNHPIT","EFYNHPIM","EFYNHPIW","EFYWHITT","EFYWHITM","EFYWHITW","EFY2MORT","EFY2MORM","EFY2MORW","EFYUNKNT","EFYUNKNM","EFYUNKNW","EFYNRALT","EFYNRALM","EFYNRALW","EFYGUUN","EFYGUAN","EFYGUTOT","EFYGUKN","EFFYDLEV","EFYDETOT","EFYDEEXC","EFYDESOM","EFYDENON","TUITION1","FEE1","HRCHG1","TUITION2","FEE2","HRCHG2","TUITION3","FEE3","HRCHG3","TUITION5","FEE5","HRCHG5","TUITION6","FEE6","HRCHG6","TUITION7","FEE7","HRCHG7","ISPROF1","ISPFEE1","OSPROF1","OSPFEE1","ISPROF2","ISPFEE2","OSPROF2","OSPFEE2","ISPROF3","ISPFEE3","OSPROF3","OSPFEE3","ISPROF4","ISPFEE4","OSPROF4","OSPFEE4","ISPROF5","ISPFEE5","OSPROF5","OSPFEE5","ISPROF6","ISPFEE6","OSPROF6","OSPFEE6","ISPROF7","ISPFEE7","OSPROF7","OSPFEE7","ISPROF8","ISPFEE8","OSPROF8","OSPFEE8","ISPROF9","ISPFEE9","OSPROF9","OSPFEE9","CHG1AT0","CHG1AF0","CHG1AY0","CHG1AT1","CHG1AF1","CHG1AY1","CHG1AT2","CHG1AF2","CHG1AY2","CHG1AT3","CHG1AF3","CHG1AY3","CHG1TGTD","CHG1FGTD","CHG2AT0","CHG2AF0","CHG2AY0","CHG2AT1","CHG2AF1","CHG2AY1","CHG2AT2","CHG2AF2","CHG2AY2","CHG2AT3","CHG2AF3","CHG2AY3","CHG2TGTD","CHG2FGTD","CHG3AT0","CHG3AF0","CHG3AY0","CHG3AT1","CHG3AF1","CHG3AY1","CHG3AT2","CHG3AF2","CHG3AY2","CHG3AT3","CHG3AF3","CHG3AY3","CHG3TGTD","CHG3FGTD","CHG4AY0","CHG4AY1","CHG4AY2","CHG4AY3","CHG5AY0","CHG5AY1","CHG5AY2","CHG5AY3","CHG6AY0","CHG6AY1","CHG6AY2","CHG6AY3","CHG7AY0","CHG7AY1","CHG7AY2","CHG7AY3","CHG8AY0","CHG8AY1","CHG8AY2","CHG8AY3","CHG9AY0","CHG9AY1","CHG9AY2","CHG9AY3"
194028,33,-74.119981,44.318645,2,2,1,2001,679,1322,81,27,54,11,2,9,119,89,30,44,19,25,15,5,10,1620,474,1146,10,1,9,95,61,34,6,1,5,0,0,0,2001,17,6003,963,1515,3525,"5280","1282","220","5280","1282","220","12452","1282","330",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5076","1182","6258","5280","1282","6562","5280","1282","6562","5280","1282","6562",".",".","5076","1182","6258","5280","1282","6562","5280","1282","6562","5280","1282","6562",".",".","11972","1182","13154","12452","1282","13734","12452","1282","13734","12452","1282","13734",".",".","1700","1700","1700","2000","10350","10700","11300","8796","2600","2600","2800","3000","10350","10700","11300","8796","2600","2600","2800","3000","2600","2600","2800","3000"
194091,21,-73.6078,40.812447,2,2,1,3597,2128,1469,10,7,3,847,499,348,402,226,176,766,459,307,16,10,6,830,513,317,154,94,60,267,151,116,305,169,136,86,0,86,3511,29,18117,680,6703,10734,"39960","2040","1350","39960","2040","1350","39960","2040","1350","26460","600","1470","26460","600","1470","26460","600","1470",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","61960","1475","61960","1475",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","36600","1410","38010","38060","1700","39760","38060","1700","39760","39960","2040","42000",".",".","36600","1410","38010","38060","1700","39760","38060","1700","39760","39960","2040","42000",".",".","36600","1410","38010","38060","1700","39760","38060","1700","39760","39960","2040","42000",".",".","1104","1104","1072","1380","17485","15772","15772","16600","3354","3392","3360","3404","14592","14908","17278","17150","4664","4836","4804","4780","4664","4836","4804","4780"
194116,11,-73.962404,40.768615,2,2,1,686,67,619,1,0,1,39,1,38,24,3,21,82,7,75,0,0,0,348,32,316,16,3,13,123,16,107,53,5,48,114,0,114,572,29,2428,1309,916,203,"34500","980","1150","34500","980","1150","34500","980","1150","39000","1410","1300","39000","1410","1300","39000","1410","1300",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","25440","882","26322","25440","882","26322","26280","920","27200","27600","980","28580",".",".","25440","882","26322","25440","882","26322","26280","920","27200","27600","980","28580",".",".","25440","882","26322","25440","882","26322","26280","920","27200","27600","980","28580",".",".","1600","1600","1600","1600",".",".",".",".",".",".",".",".","21600","21600","21600","21600","4000","4600","4600","7200","4000","4600","4600","7200"
194161,11,-74.015605,40.705798,2,2,1,1284,596,688,5,3,2,54,23,31,385,193,192,364,159,205,2,1,1,90,43,47,30,16,14,39,25,14,315,133,182,0,0,0,1284,29,5880,1920,2860,1100,"27000","500","1125","27000","500","1125","27000","500","1125","14400","500","743","14400","500","743","14400","500","743",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","25000","500","25500","25000","500","25500","26000","500","26500","27000","500","27500",".",".","25000","500","25500","25000","500","25500","26000","500","26500","27000","500","27500",".",".","25000","500","25500","25000","500","25500","26000","500","26500","27000","500","27500",".",".","1000","1000","1000","1000","10000","15000","15000","15500","5115","5115","5115","5115","10000","15000","15000","15550","6215","6215","6215","6215","6215","6215","6215","6215"
194189,21,-73.889793,41.268725,2,2,1,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,0,0,0,0,0,0,0,5,5,0,0,0,0,126,6,378,0,0,378,"12650","100",".","12650","100",".","12650","100",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11900","100","12000","12150","100","12250","12400","100","12500","12650","100","12750",".",".","11900","100","12000","12150","100","12250","12400","100","12500","12650","100","12750",".",".","11900","100","12000","12150","100","12250","12400","100","12500","12650","100","12750",".",".","200","200","200","200","5600","5600","5600","5600","3800","3800","3800","3800",".",".",".",".",".",".",".",".",".",".",".","."
194222,21,-76.197878,43.006329,2,2,1,10038,4593,5445,111,49,62,325,159,166,1133,423,710,515,204,311,6,2,4,4300,1974,2326,327,142,185,3267,1604,1663,54,36,18,0,0,0,10038,17,30114,1887,5880,22347,"5190","700","216","5190","700","216","10380","700","432",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4990","584","5574","5090","664","5754","5090","664","5754","5190","700","5890",".",".","4990","584","5574","5090","664","5754","5090","664","5754","5190","700","5890",".",".","9980","584","10564","10180","664","10844","10180","664","10844","10380","700","11080",".",".","1230","650","650","650","8990","9220","9330","9862","1426","1526","1526","1700","8990","8990","9060","9470","1426","1526","1526","2400","2180","2280","2280","2400"
194240,13,-74.426028,41.438629,2,2,1,6445,2503,3942,16,6,10,199,88,111,791,287,504,1443,513,930,14,5,9,2966,1185,1781,202,74,128,808,342,466,6,3,3,0,0,0,6445,17,19335,5910,9720,3705,"5544","718","231","5544","718","231","11088","718","462",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5184","604","5788","5376","718","6094","5376","718","6094","5544","718","6262",".",".","5184","604","5788","5376","718","6094","5376","718","6094","5544","718","6262",".",".","10368","604","10972","10752","718","11470","10752","718","11470","11088","718","11806",".",".","1500","1500","1500","1500",".",".",".",".",".",".",".",".","6000","8000","11632","11632","3816","3816","3878","5052","3116","3116","3320","3320"
194310,11,-74.004719,40.711014,2,2,1,9261,3219,6042,15,2,13,639,251,388,953,304,649,1654,513,1141,12,6,6,4006,1383,2623,444,127,317,331,119,212,1207,514,693,0,0,0,9261,29,40589,5958,18371,16260,"48152","1874","1381","48152","1874","1381","48152","1874","1381","25560","1122","1420","25560","1122","1420","25560","1122","1420",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","52348","1108","52348","1108","44714","1732","46446","45832","1852","47684","46978","1852","48830","48152","1874","50026",".",".","44714","1732","46446","45832","1852","47684","46978","1852","48830","48152","1874","50026",".",".","44714","1732","46446","45832","1852","47684","46978","1852","48830","48152","1874","50026",".",".","800","800","800","800","19148","19380","19682","20480","1858","1940","1956","1946","20618","21152","21474","24000","2608","2690","2706","2696","3108","3200","3216","3296"
194392,42,-74.252675,44.433965,2,2,1,755,486,269,11,7,4,4,3,1,35,22,13,9,3,6,0,0,0,590,396,194,9,5,4,89,47,42,8,3,5,10,0,10,745,29,2339,27,1382,930,"32012","36","1082","32012","36","1082","32012","36","1082","23788","2900","742","23788","2900","742","23788","2900","742",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","29280","33","29313","30160","34","30194","31080","35","31115","32012","36","32048",".",".","29280","33","29313","30160","34","30194","31080","35","31115","32012","36","32048",".",".","29280","33","29313","30160","34","30194","31080","35","31115","32012","36","32048",".",".","1000","1000","1000","1000","14280","14720","15180","15546","2500","2500","2500","2500","14280","14720","15180","15546","2500","2500","2500","2500","2500","2500","2500","2500"
194499,11,-73.831156,40.714894,2,2,1,1380,274,1106,0,0,0,166,35,131,445,89,356,457,91,366,0,0,0,176,32,144,136,27,109,0,0,0,0,0,0,0,0,0,1380,17,4140,423,3717,0,"13000","1425","540","13000","1425","540","13000","1425","540",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12000","1450","13450","12000","1450","13450","12000","2030","14030","13000","1425","14425",".",".","12000","1450","13450","12000","1450","13450","12000","2030","14030","13000","1425","14425",".",".","12000","1450","13450","12000","1450","13450","12000","2030","14030","13000","1425","14425",".",".","1500","1700","1800","1700",".",".",".",".",".",".",".",".","6000","7000","7200","7000","3500","3300","3800","3300","3600","3300","3960","3300"
